#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -4   49    1   HB  3.60560  3.41540  3.48720  3.61020   42004231
    -4   50    1   HB  4.01020  4.16280  4.24200  4.15580   42004232
    -4   51    1   HB  2.92580  3.31340  3.68680  3.06440   42004233
    -4   52    1   HB  3.59500  3.45320  3.24655  3.88060   42004234
    -4   53    1   HB  4.24700  3.30100  3.89440  3.87360   42004235
    -4   54    1   HB  3.93200  4.29260  4.20440  4.20400   42004236
    -4   55    1   HB  3.74020  4.04580  3.90720  3.95420   42004237
    -4   56    1   HB  2.90840  3.12300  2.95180  3.13560   42004238
    -4   57    1   HB  3.13320  2.65900  3.49160  2.98580   42004239
    -4   58    1   HB  3.47460  3.57440  3.87720  3.38620   4200423A
    -4   59    1   HB  4.08320  4.30800  4.12100  4.44360   4200423B
    -4   60    1   HB  3.64440  3.29540  3.77100  3.86480   4200423C
    -4   61    1   HB  3.14260  3.14000  2.97380  3.81480   4200423D
    -4   62    1   HB  4.27700  4.27340  4.22420  4.40760   4200423E
    -4   63    1   HB  3.94850  4.28900  4.19450  4.21036   4200423F
    -4   64    1   HB  4.16500  3.92800  4.53600  4.05600   42004240
    -4   65    1   HB  3.28850  3.14400  3.99650  3.36950   42004241
    -4   66    1   HB  2.91050  3.64350  3.51800  3.70450   42004242
    -4   67    1   HB  4.84400  4.12240  4.58080  3.96260   42004243
    -4   68    1   HB  3.88780  4.17000  3.98420  3.93440   42004244
    -4   69    1   HB  4.79500  5.16980  4.96000  4.86420   42004245
    -4   70    1   HB  3.80020  4.17580  3.61020  4.02880   42004246
    -4   71    1   HB  3.79580  3.94900  4.02260  4.29560   42004247
    -4   72    1   HB  2.41024  3.12900  2.65823  2.87220   42004248
    -5    1    1   HB  4.60720  4.04771  4.14440  4.23600   42004281
    -5    2    1   HB  3.39380  2.76000  3.55340  3.07300   42004282
    -5    3    1   HB  2.72420  2.87640  2.89100  3.04740   42004283
    -5    4    1   HB  3.32300  3.55740  3.93400  3.42680   42004284
    -5    5    1   HB  3.50320  3.25580  3.40060  3.61100   42004285
    -5    6    1   HB  3.73480  3.10520  3.85540  3.43540   42004286
    -5    7    1   HB  3.63820  3.84380  4.02220  3.77540   42004287
    -5    8    1   HB  3.44640  4.10980  4.17840  3.75880   42004288
    -5    9    1   HB  3.01340  3.03400  3.06540  2.93580   42004289
    -5   10    1   HB  3.82240  3.62860  3.88880  3.69180   4200428A
    -5   11    1   HB  4.48360  4.31040  4.48420  4.32920   4200428B
    -5   12    1   HB  3.66540  3.54280  3.79860  3.63420   4200428C
    -5   13    1   HB  3.30920  3.58760  3.36720  3.54220   4200428D
    -5   14    1   HB  3.29540  4.52760  4.39280  3.78980   4200428E
    -5   15    1   HB  4.68320  4.80220  4.57140  4.55520   4200428F
    -5   16    1   HB  3.66480  3.35960  4.11040  4.04240   42004290
    -5   17    1   HB  3.45280  3.54660  3.21080  3.31640   42004291
    -5   18    1   HB  3.52360  3.19380  3.42560  3.20100   42004292
    -5   19    1   HB  3.96780  4.33160  3.88620  4.38640   42004293
    -5   20    1   HB  3.71140  3.41880  3.31920  3.80560   42004294
    -5   21    1   HB  4.26020  4.20860  4.08700  3.98900   42004295
    -5   22    1   HB  4.25420  3.95960  4.23660  3.83380   42004296
    -5   23    1   HB  4.06720  4.08340  4.22460  4.22240   42004297
    -5   24    1   HB  3.76040  3.65840  4.35380  4.16280   42004298
    -5   25    1   HB  3.35260  3.36660  3.68020  3.56780   42004299
    -5   26    1   HB  4.38020  3.98340  4.86280  4.03100   4200429A
    -5   27    1   HB  3.72080  3.62760  4.12480  3.43480   4200429B
    -5   28    1   HB  3.22820  3.26500  3.08960  3.51980   4200429C
    -5   29    1   HB  3.08180  3.63040  3.66320  3.74580   4200429D
    -5   30    1   HB  3.64980  4.00400  3.61260  3.53860   4200429E
    -5   31    1   HB  4.40880  4.53560  4.60080  4.33420   4200429F
    -5   32    1   HB  3.65400  3.67460  3.96440  3.67160   420042A0
    -5   33    1   HB  3.31000  3.31480  3.61980  3.52620   420042A1
    -5   34    1   HB  3.19580  3.35920  3.82060  3.41060   420042A2
    -5   35    1   HB  4.52740  4.50300  4.04340  4.38560   420042A3
    -5   36    1   HB  4.12720  4.08760  4.51160  4.14620   420042A4
    -5   37    1   HB  4.71900  4.12740  5.04100  4.97120   420042A5
    -5   38    1   HB  3.11800  3.14340  3.39300  3.15220   420042A6
    -5   39    1   HB  3.11980  3.43220  3.34480  3.67120   420042A7
    -5   40    1   HB  3.35540  3.69500  3.98340  4.00180   420042A8
    -5   41    1   HB  4.08460  3.96780  4.21400  4.20920   420042A9
    -5   42    1   HB  3.57400  3.62120  3.91320  3.91680   420042AA
    -5   43    1   HB  4.76340  4.75000  4.89940  4.82900   420042AB
